Symbol,median_volatility,hist_volatility,mean_momentum,mean_volume_norm,environmentScore,socialScore,governanceScore,marketCap,beta,highestControversy,GICS_Sector_encoded,GICS_Sector,Cluster_DBSCAN
CPAY,0.018386265570005937,0.2549012792297705,1.0102705876082017,1.8238707618959014e-05,4.74,12.24,5.48,23.970038877200505,1.257,2,8.912463768115943,Financials,Moderate
CPB,0.017583933325391446,0.21968562558943974,0.9967130535157601,0.00021289203812317948,12.07,10.47,3.77,23.23359006582265,0.143,2,4.580285714285714,Consumer Staples,Safe
CPRT,0.015997111377479473,0.2222549154191858,1.0073513056840495,8.181398863247352e-05,3.11,10.08,5.06,24.689719930289968,1.304,1,4.938666666666666,Industrials,Safe
CPT,0.017323167751811402,0.2108245902222235,1.0077469513480661,7.048432290389272e-05,3.5,3.81,6.87,23.318610522019306,0.958,2,4.796333333333333,Real Estate,Safe
CRL,0.025570946560122924,0.3710620762737128,0.9893257969950014,8.299335297971945e-05,1.73,10.75,5.67,22.846921817853342,1.448,1,5.7454237288135594,Health Care,Safe
CRM,0.02074051793678659,0.3505929159744973,1.0082061229975057,2.296615876646935e-05,2.05,8.16,4.97,26.35968981808136,1.354,2,4.803181818181818,Information Technology,Safe
CRWD,0.03219820753119031,0.46898811593062245,1.016630093207459,4.950361528791384e-05,0.97,10.4,6.38,25.269435328564473,1.193,2,4.803181818181818,Information Technology,Safe
CSCO,0.013392004678819921,0.18133958025147767,1.0088959941615134,7.644055178219344e-05,0.4,7.64,4.87,26.254843408467046,0.776,2,4.803181818181818,Information Technology,Safe
CSGP,0.022400236736561732,0.292465697304098,0.9971464962930945,7.811730422095935e-05,5.65,9.56,6.47,24.182628771485913,0.931,1,4.796333333333333,Real Estate,Safe
CSX,0.01609540771754926,0.2125630234147427,0.9985557967895416,0.00019789208244127104,7.12,10.07,3.89,24.825830135072376,1.245,2,4.938666666666666,Industrials,Safe
CTAS,0.014005237650325983,0.21641393927578667,1.0121476488754146,1.8580155450492297e-05,3.19,8.24,5.61,25.150589945358124,1.407,2,4.938666666666666,Industrials,Safe
CTRA,0.01964910417921737,0.24434067714402663,1.0047674068504662,0.0003101695896252249,19.31,7.63,5.81,23.723084113060732,0.242,2,5.838636363636363,Energy,Risky
CTSH,0.015284637800621673,0.20411775395770618,1.0055839898537222,8.927640806012126e-05,2.75,8.01,4.58,24.4442586652968,1.118,2,4.803181818181818,Information Technology,Safe
CTVA,0.017191945709426327,0.2901080393274362,1.01134142342667,7.720773976679992e-05,15.2,14.31,4.25,24.488558436967256,0.79,3,4.296296296296297,Materials,Safe
CVS,0.022393915452966102,0.3856115420839221,0.9926343135376207,0.00014380949918313597,0.07,13.22,4.99,25.12785993833327,0.531,2,5.7454237288135594,Health Care,Safe
CVX,0.014830377874032954,0.1946242342182641,1.003493720794862,2.8710538887662796e-05,19.91,10.61,7.84,26.31994553835804,1.062,3,5.838636363636363,Energy,Risky
CZR,0.03150267922241052,0.4188204466230557,0.9924240172469679,0.0006305995792758633,1.79,9.79,8.29,22.62119279229403,2.968,2,4.690799999999999,Consumer Discretionary,Risky
D,0.017665493908451034,0.22958956076881448,1.0073985572893205,9.225889377459814e-05,14.97,8.33,5.28,24.603923686683906,0.584,2,4.248064516129032,Utilities,Safe
DAL,0.0249710523405135,0.33869805856408514,1.0183853617412375,0.00023851557439623448,11.38,13.88,5.12,24.354422885762993,1.343,2,4.938666666666666,Industrials,Risky
DAY,0.02557605159956,0.35056328842470785,1.0012025300644554,0.0001697063826264939,4.5,7.98,4.79,22.96904555919699,1.332,0,4.938666666666666,Industrials,Safe
DD,0.013886867021944168,0.2582838950072688,1.0030611779311265,7.401318998481434e-05,16.2,6.93,3.73,24.218402828611048,1.28,3,4.296296296296297,Materials,Safe
DE,0.017748151421624718,0.2432634531428299,1.0077245566926194,1.131247461574734e-05,2.45,9.05,4.7,25.56297836054205,1.024,2,4.938666666666666,Industrials,Safe
DECK,0.02518356672448555,0.4306351110933208,1.0130867734795006,0.00011084996219658671,3.2,7.94,3.09,23.75963438747222,1.099,0,4.690799999999999,Consumer Discretionary,Safe
DELL,0.03409682595174682,0.5890473801520585,1.0134942106712292,0.00014600161988913415,0.63,7.29,7.99,24.923061248041172,0.899,3,4.803181818181818,Information Technology,Risky
DFS,0.020996074789461874,0.3698547270985584,1.0218162809671503,3.431882836704404e-05,0.32,12.4,10.09,24.591811079107817,1.448,2,8.912463768115943,Financials,Moderate
DG,0.02476287268811765,0.4286511342010942,0.9797828281272181,0.00021055532337175493,3.86,13.07,4.27,23.483938856397373,0.44,3,4.580285714285714,Consumer Staples,Risky
DGX,0.016364207517459227,0.20615436603886517,1.0076415834628565,4.716537312047623e-05,0.31,13.06,7.12,23.700709755813527,0.919,3,5.7454237288135594,Health Care,Safe
DHI,0.022001383989668413,0.33265341811927357,0.9962737297635424,6.6954365495375e-05,9.99,6.44,5.21,24.42015775181695,1.806,2,4.690799999999999,Consumer Discretionary,Safe
DHR,0.017027310602200422,0.23779264192279598,0.9972555321492181,2.0708875410975493e-05,0.99,3.32,4.21,25.713759646347604,0.849,2,5.7454237288135594,Health Care,Safe
DIS,0.016435361088547675,0.24945147518543404,1.0073468355576147,5.093678218715096e-05,0.09,8.53,5.89,26.040900418884583,1.411,2,6.428421052631579,Communication Services,Safe
DLR,0.01985511272964776,0.27834242704983975,1.0083774982406453,3.6670658566954076e-05,4.13,2.77,5.73,24.698019599309358,0.676,0,4.796333333333333,Real Estate,Safe
DLTR,0.026206419733990235,0.40166836517852744,0.9785133292544752,0.00022607292453470036,3.23,13.01,2.55,23.41709757934465,0.909,2,4.580285714285714,Consumer Staples,Risky
DOV,0.015146601229293467,0.20383619096916084,1.011463239422895,3.470222976227783e-05,7.47,12.55,4.43,24.00132401469634,1.241,0,4.938666666666666,Industrials,Safe
DOW,0.017293198234789208,0.21667054890385143,0.9904647298183192,0.0002119766302538126,12.21,3.44,4.33,23.95997564016106,1.159,3,4.296296296296297,Materials,Safe
